07.06.2024                           Saída dinâmica de lista                                   1
------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------
|Reserva|Cen.|Dep.|Data base |TMv|Material|Texto breve material                    |UMB|   Qtd.|
|4379671|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN |   300 |
|4379671|N190|USAD|03.06.2024|X43|22065609|FONTE DE ALIMENTACAO AP5541 F18L1       |UN |    35 |
|4379671|N190|USAD|03.06.2024|X43|22066258|FONTE DE ALIMENTACAO 12V ONT TCG2232 ADS|UN |    40 |
|4379672|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    90 |
|4379672|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    70 |
|4379672|N190|USAD|03.06.2024|X41|41001484|DECODER 4K ULTRA HD DGCI363 COM IG      |UN |    20 |
|4379672|N190|USAD|03.06.2024|X41|41001523|TERMINAL EXTENSOR WIFI MESH AP5541      |UN |    35 |
|4379672|N190|USAD|03.06.2024|X41|41001535|TERMINAL GPON WIFI TCG2232              |UN |    40 |
|4379673|N190|N190|03.06.2024|X43|22025349|FIXA FIO CABO DROP FO CHATO             |UN |   300 |
|4379673|N190|USAD|03.06.2024|X43|22026103|CABO HDMI 2MTS BASICO SEM ETHE          |UN |    20 |
|4379673|N190|N190|03.06.2024|X43|22026189|CONEC_RI COMPRESSAO F-6                 |UN | 4.400 |
|4379673|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   120 |
|4379673|N190|N190|03.06.2024|X43|22026746|DC_RI 1S 09DB 1GHZ H SOLDADO            |UN |   200 |
|4379673|N190|N190|03.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |   350 |
|4379673|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |    32 |
|4379673|N190|N190|03.06.2024|X43|22056359|FITA ACO INOX 1/2 POLEGADA ROLO 25MT    |ROL|    20 |
|4379673|N190|N190|03.06.2024|X43|22056369|CABO UTP CAT5E ETHERNET NET             |M  | 1.200 |
|4379673|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   230 |
|4379673|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   120 |
|4379673|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   240 |
|4379673|N190|USAD|03.06.2024|X43|22058639|FONTE ENERGIA MSA C2500IC12.0 30W       |UN |    20 |
|4379673|N190|N190|03.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  |10.500 |
|4379673|N190|N190|03.06.2024|X43|22063252|CONTROLE REMOTO VOZ C GBX RC3394201     |UN |    20 |
|4379673|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN |   700 |
|4379673|N190|N190|03.06.2024|X43|22065728|MARCADOR CASA PRETO LETRA A             |UN |    30 |
|4379673|N190|USAD|03.06.2024|X43|22066258|FONTE DE ALIMENTACAO 12V ONT TCG2232 ADS|UN |    30 |
|4379674|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   140 |
|4379674|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   120 |
|4379674|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   230 |
|4379674|N190|USAD|03.06.2024|X41|41001484|DECODER 4K ULTRA HD DGCI363 COM IG      |UN |    20 |
|4379674|N190|USAD|03.06.2024|X41|41001535|TERMINAL GPON WIFI TCG2232              |UN |    30 |
|4379677|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |   120 |
|4379677|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   120 |
|4379677|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |   120 |
|4379677|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   240 |
|4379677|N190|USAD|03.06.2024|X43|22062078|FONTE DE ALIMENTACAO 12V EMTA TG3442 N  |UN |    30 |
|4379677|N190|N190|03.06.2024|X43|22062576|FONTE ALIM 12V 3A ADS 36FKJ 12 12036EPBR|UN |    40 |
|4379678|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   120 |
|4379678|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   120 |
|4379678|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   120 |
|4379678|N190|USAD|03.06.2024|X41|41001520|TERMINAL DOCSIS 3.1 32X8 EMTA WIF TG3442|UN |    30 |
|4379678|N190|USAD|03.06.2024|X41|41001553|TERMINAL DOCSIS 3.1 EMTA WIFI6 TC3106   |UN |    40 |
|4379681|N190|N190|03.06.2024|X43|22025321|ANEL VEDACAO PLASTICA P PORTA F         |UN |   500 |
|4379681|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    90 |
|4379681|N190|N190|03.06.2024|X43|22026544|SUPORTE GALVANIZADO U SPAN CLAMP        |UN |    50 |
|4379681|N190|N190|03.06.2024|X43|22026809|DC_RI 1S 06DB 1GHZ H SOLDADO            |UN |    50 |
|4379681|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |    11 |
|4379681|N190|N190|03.06.2024|X43|22056334|FECHO DE ACO INOX DENTADO 1/2           |UN |   100 |
|4379681|N190|USAD|03.06.2024|X43|22056343|MARCADOR CASA PTO NR 1                  |UN |    60 |
|4379681|N190|N190|03.06.2024|X43|22056365|PROTETOR P/MINI ISOLADOR - ACRE1568     |UN |   330 |
|4379681|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   180 |
|4379681|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    90 |
|4379681|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   180 |
|4379681|N190|N190|03.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 3.000 |
|4379681|N190|N190|03.06.2024|X43|22062576|FONTE ALIM 12V 3A ADS 36FKJ 12 12036EPBR|UN |    30 |
|4379681|N190|USAD|03.06.2024|X43|22065719|MARCADOR CASA PRETO NR 1                |UN |    40 |
|4379681|N190|N190|03.06.2024|X43|22065721|MARCADOR CASA PRETO NR 3                |UN |   100 |
|4379682|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    90 |
|4379682|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    90 |
|4379682|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   180 |
|4379682|N190|USAD|03.06.2024|X41|41001553|TERMINAL DOCSIS 3.1 EMTA WIFI6 TC3106   |UN |    30 |
|4379683|N190|N190|03.06.2024|X43|22025136|BUCHA ACABAMENTO CABO RG6-59 BRANCA     |UN |   500 |
|4379683|N190|USAD|03.06.2024|X43|22025239|MARCADOR APTO NUM 8 TIPO HO85 AMARELO   |UN |   100 |
|4379683|N190|USAD|03.06.2024|X43|22025250|MARCADOR APTO NUM 1 TIPO HO85 AMARELO   |UN |   100 |
|4379683|N190|N190|03.06.2024|X43|22025321|ANEL VEDACAO PLASTICA P PORTA F         |UN |   200 |
|4379683|N190|USAD|03.06.2024|X43|22025348|FIXA FIO CABO LOW FRICT CHATO           |UN |   100 |
|4379683|N190|N190|03.06.2024|X43|22026189|CONEC_RI COMPRESSAO F-6                 |UN | 5.400 |
|4379683|N190|N190|03.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  |25.400 |
|4379683|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  |13.725 |
|4379683|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    40 |
|4379683|N190|N190|03.06.2024|X43|22026746|DC_RI 1S 09DB 1GHZ H SOLDADO            |UN |   100 |
|4379683|N190|N190|03.06.2024|X43|22026792|DIV_RI 3S 1GHZ H SOLD DESB 488          |UN |    75 |
|4379683|N190|N190|03.06.2024|X43|22026795|DIV_RI 3S 1GHZ H SOLD BAL 777           |UN |    50 |
|4379683|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |   108 |
|4379683|N190|N190|03.06.2024|X43|22056360|FITA ACO INOX 3/4 POLEGADA ROLO 25MT    |ROL|    10 |
|4379683|N190|N190|03.06.2024|X43|22056364|MINI ISOLADOR CPE P/CM DECODER          |UN |   900 |
|4379683|N190|N190|03.06.2024|X43|22056369|CABO UTP CAT5E ETHERNET NET             |M  | 2.100 |
|4379683|N190|USAD|03.06.2024|X43|22057341|CABO COAXIAL RG11 TRI C/M PT            |M  |   305 |
|4379683|N190|N190|03.06.2024|X43|22057635|FIXADOR FIO PT RG6                      |UN | 2.600 |
|4379683|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |   170 |
|4379683|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |    60 |
|4379683|N190|N190|03.06.2024|X43|22057866|MINI PONTO GPON SC ROSETA APCDPR OT8420 |UN |    30 |
|4379683|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    40 |
|4379683|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |    80 |
|4379683|N190|N190|03.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 7.000 |
|4379683|N190|N190|03.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  | 6.000 |
|4379683|N190|N190|03.06.2024|X43|22061811|CONECTOR UTP RJ45 M CAT 5 24AWG         |UN |   200 |
|4379683|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN |   300 |
|4379684|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    40 |
|4379684|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    40 |
|4379684|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    60 |
|4379684|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    40 |
|4379686|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   150 |
|4379686|N190|USAD|03.06.2024|X41|41001047|DECODER HD THDC4 NET                    |UN |   150 |
|4379686|N190|USAD|03.06.2024|X41|41001520|TERMINAL DOCSIS 3.1 32X8 EMTA WIF TG3442|UN |   150 |
|4379688|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    60 |
|4379688|N190|UDEI|03.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |    30 |
|4379688|N190|USAD|03.06.2024|X41|41001552|TERMINAL DOCSIS 3.1 EMTA WIFI6 F@ST3896 |UN |    30 |
|4379688|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    30 |
|4379690|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   160 |
|4379690|N190|USAD|03.06.2024|X41|41001047|DECODER HD THDC4 NET                    |UN |   120 |
|4379690|N190|USAD|03.06.2024|X41|41001484|DECODER 4K ULTRA HD DGCI363 COM IG      |UN |    40 |
|4379690|N190|USAD|03.06.2024|X41|41001520|TERMINAL DOCSIS 3.1 32X8 EMTA WIF TG3442|UN |   120 |
|4379692|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    40 |
|4379692|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4379694|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   320 |
|4379694|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    20 |
|4379701|N190|USAD|03.06.2024|X43|22026251|CTRL REMOTO DIG. CR2FU UNIVERS          |UN |   100 |
|4379701|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   200 |
|4379701|N190|N190|03.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   100 |
|4379712|N190|UDEI|03.06.2024|X41|41001528|DECODER CARDLESS 4K UHD S4KCW3 CABO E IP|UN |    10 |
|4379718|N190|USAD|03.06.2024|X51|41000805|SMART CARD AVULSO SIM CARD              |UN |    60 |
|4379718|N190|USAD|03.06.2024|X51|41001047|DECODER HD THDC4 NET                    |UN |    60 |
|4379718|N190|USAD|03.06.2024|X51|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |    40 |
|4379718|N190|N190|03.06.2024|X51|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    20 |
|4379723|N190|USAD|03.06.2024|X51|41000805|SMART CARD AVULSO SIM CARD              |UN |   120 |
|4379723|N190|USAD|03.06.2024|X51|41001047|DECODER HD THDC4 NET                    |UN |   100 |
|4379723|N190|USAD|03.06.2024|X51|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    50 |
|4379723|N190|USAD|03.06.2024|X51|41001484|DECODER 4K ULTRA HD DGCI363 COM IG      |UN |    20 |
|4379723|N190|USAD|03.06.2024|X51|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |   180 |
|4379728|N190|USAD|03.06.2024|X51|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |    30 |
|4379728|N190|UDEI|03.06.2024|X51|41001528|DECODER CARDLESS 4K UHD S4KCW3 CABO E IP|UN |    20 |
|4379729|N190|USAD|03.06.2024|X51|41000805|SMART CARD AVULSO SIM CARD              |UN |   170 |
|4379729|N190|USAD|03.06.2024|X51|41001047|DECODER HD THDC4 NET                    |UN |   170 |
|4379729|N190|USAD|03.06.2024|X51|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |   150 |
|4379733|N190|USAD|03.06.2024|X51|41000805|SMART CARD AVULSO SIM CARD              |UN |    80 |
|4379733|N190|USAD|03.06.2024|X51|41001047|DECODER HD THDC4 NET                    |UN |    80 |
|4379733|N190|N190|03.06.2024|X51|41001169|CAMERA IV ADC522 ALARM COM INT          |UN |    10 |
|4379733|N190|USAD|03.06.2024|X51|41001486|MODEM VOIP EMTA WIFI 3.1 CG3000         |UN |   230 |
|4379753|N190|USAD|04.06.2024|X33|22057438|FILTRO PASSA ALTA 54MHZ-1GHZ            |UN |   100 |
|4379836|N190|N190|04.06.2024|201|254651  |CONECTOR 5/8 CP110                      |UN |   300 |
|4379836|N190|N190|04.06.2024|201|251879  |FIO ESPINAR ISOLADO SAE1020 FEI-125     |ROL|   810 |
|4380056|N190|N190|04.06.2024|201|254379  |CAIXA EMENDA AZUL FOSC100 BM 24F 4SAIDAS|UN |    12 |
|4380117|N190|N190|04.06.2024|221|22059033|CORDAO OPTICO SM SPLX SC APC LC PC 2M   |UN |    39 |
|4380372|N190|N190|04.06.2024|201|254513  |CAIXA NAP CTO CORDOALHA 16 SAIDAS SEM K7|UN |     2 |
|4380495|N190|N190|04.06.2024|201|251887  |TAMPA ARTIC. R2 FERRO NODULAR           |UN |     4 |
|4380495|N190|N190|04.06.2024|201|254651  |CONECTOR 5/8 CP110                      |UN |    50 |
|4380495|N190|N190|04.06.2024|201|251879  |FIO ESPINAR ISOLADO SAE1020 FEI-125     |ROL|   500 |
|4380563|N190|UDEI|04.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |   100 |
|4380564|N190|UDEI|04.06.2024|X41|41001530|DECODER 4K UHD IP S4KW3 LINUX VAS COM   |UN |   120 |
|4380769|N190|N190|04.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  | 3.400 |
|4380769|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |    90 |
|4380769|N190|N190|04.06.2024|X43|22026746|DC_RI 1S 09DB 1GHZ H SOLDADO            |UN |    50 |
|4380769|N190|N190|04.06.2024|X43|22056331|MARCADOR CASA PTO NR 5                  |UN |   200 |
|4380769|N190|USAD|04.06.2024|X43|22056339|MARCADOR CASA PTO NR 9                  |UN |   200 |
|4380769|N190|N190|04.06.2024|X43|22056343|MARCADOR CASA PTO NR 1                  |UN |   200 |
|4380769|N190|N190|04.06.2024|X43|22056344|MARCADOR CASA PTO NR 2                  |UN |   200 |
|4380769|N190|N190|04.06.2024|X43|22056364|MINI ISOLADOR CPE P/CM DECODER          |UN |   270 |
|4380769|N190|N190|04.06.2024|X43|22056365|PROTETOR P/MINI ISOLADOR - ACRE1568     |UN |   240 |
|4380769|N190|N190|04.06.2024|X43|22057620|CONECTOR FO CAMPO FAST SC/APC           |UN |   400 |
|4380769|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |    90 |
|4380769|N190|N190|04.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 1.900 |
|4380769|N190|N190|04.06.2024|X43|22065718|MARCADOR CASA PRETO NR 0                |UN |   100 |
|4380769|N190|N190|04.06.2024|X43|22065722|MARCADOR CASA PRETO NR 4                |UN |   200 |
|4380770|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |    90 |
|4380770|N190|USAD|04.06.2024|X41|41001276|DECODER HD HNB100 2T                    |UN |    90 |
|4380770|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    70 |
|4380771|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |   120 |
|4380771|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |   160 |
|4380771|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   120 |
|4380772|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |   120 |
|4380772|N190|USAD|04.06.2024|X41|41001276|DECODER HD HNB100 2T                    |UN |   120 |
|4380772|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |   160 |
|4380772|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |   260 |
|4380773|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |   250 |
|4380773|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   250 |
|4380774|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |   250 |
|4380774|N190|USAD|04.06.2024|X41|41001276|DECODER HD HNB100 2T                    |UN |   250 |
|4380774|N190|N190|04.06.2024|X41|41001567|TERMINAL EXTENSOR WIFI5 MESH AR2180T    |UN |    40 |
|4380774|N190|N190|04.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4380774|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    30 |
|4380775|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |   230 |
|4380775|N190|USAD|04.06.2024|X43|22026297|FONTE ALIM AC/DC 12V 1,5A               |UN |   120 |
|4380775|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   120 |
|4380776|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |   120 |
|4380776|N190|USAD|04.06.2024|X41|41001275|DECODER HD DCI738 2T                    |UN |   120 |
|4380776|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |   230 |
|4380776|N190|N190|04.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4380779|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |   140 |
|4380779|N190|USAD|04.06.2024|X43|22026297|FONTE ALIM AC/DC 12V 1,5A               |UN |   670 |
|4380779|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   670 |
|4380780|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |   670 |
|4380780|N190|USAD|04.06.2024|X41|41001275|DECODER HD DCI738 2T                    |UN |   670 |
|4380780|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |   140 |
|4381062|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |    40 |
|4381063|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |    40 |
|4381063|N190|N190|04.06.2024|X41|41001567|TERMINAL EXTENSOR WIFI5 MESH AR2180T    |UN |    20 |
|4381064|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |    20 |
|4381064|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |    20 |
|4381064|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |    20 |
|4381065|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |    20 |
|4381065|N190|USAD|04.06.2024|X41|41001276|DECODER HD HNB100 2T                    |UN |    20 |
|4381065|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |    20 |
|4381066|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |    30 |
|4381066|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |    60 |
|4381066|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |    30 |
|4381067|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |    30 |
|4381067|N190|USAD|04.06.2024|X41|41001276|DECODER HD HNB100 2T                    |UN |    30 |
|4381067|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |    60 |
|4381067|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |   330 |
|4381068|N190|USAD|04.06.2024|X43|22026103|CABO HDMI 2MTS BASICO SEM ETHE          |UN |    20 |
|4381068|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |   250 |
|4381068|N190|USAD|04.06.2024|X43|22026297|FONTE ALIM AC/DC 12V 1,5A               |UN |   110 |
|4381068|N190|USAD|04.06.2024|X43|22058639|FONTE ENERGIA MSA C2500IC12.0 30W       |UN |    20 |
|4381068|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   110 |
|4381068|N190|N190|04.06.2024|X43|22064554|CONTROLE REMOTO VOZ LINUX UEI AVULSO    |UN |    20 |
|4381069|N190|USAD|04.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    20 |
|4381069|N190|USAD|04.06.2024|X41|41001068|DECODER 4K ULTRA HD DGCI362             |UN |    20 |
|4381069|N190|USAD|04.06.2024|X41|41001234|SMART CARD AVULSO PRETO NOVO            |UN |   110 |
|4381069|N190|USAD|04.06.2024|X41|41001275|DECODER HD DCI738 2T                    |UN |   110 |
|4381069|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |   250 |
|4381071|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |    50 |
|4381072|N190|USAD|04.06.2024|X41|41001292|EMTA WIFI 3.0 HGB10R-02 16X4            |UN |    50 |
|4381073|N190|USAD|04.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    50 |
|4381073|N190|USAD|04.06.2024|X41|41001047|DECODER HD THDC4 NET                    |UN |    50 |
|4381074|N190|N190|04.06.2024|X43|22025049|VASELINA SOLIDA POTE 410G               |UN |     3 |
|4381074|N190|N190|04.06.2024|X43|22026189|CONEC_RI COMPRESSAO F-6                 |UN | 1.350 |
|4381074|N190|N190|04.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  | 3.400 |
|4381074|N190|N190|04.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |    25 |
|4381074|N190|N190|04.06.2024|X43|22056331|MARCADOR CASA PTO NR 5                  |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22056335|FECHO DE ACO INOX DENTADO 3/4           |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22056343|MARCADOR CASA PTO NR 1                  |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22056344|MARCADOR CASA PTO NR 2                  |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22056345|MARCADOR CASA PTO NR 3                  |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22056359|FITA ACO INOX 1/2 POLEGADA ROLO 25MT    |ROL|     2 |
|4381074|N190|N190|04.06.2024|X43|22056364|MINI ISOLADOR CPE P/CM DECODER          |UN |   150 |
|4381074|N190|N190|04.06.2024|X43|22056365|PROTETOR P/MINI ISOLADOR - ACRE1568     |UN |   150 |
|4381074|N190|N190|04.06.2024|X43|22057620|CONECTOR FO CAMPO FAST SC/APC           |UN |   200 |
|4381074|N190|N190|04.06.2024|X43|22057658|SUPORTE ROLDANA FO DROP SDA-1           |UN |    20 |
|4381074|N190|N190|04.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |   250 |
|4381074|N190|N190|04.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN |   600 |
|4381074|N190|N190|04.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  | 3.000 |
|4381074|N190|N190|04.06.2024|X43|22065718|MARCADOR CASA PRETO NR 0                |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22065726|MARCADOR CASA PRETO NR 8                |UN |   100 |
|4381074|N190|N190|04.06.2024|X43|22066517|ISOLADOR CASA SURGE PROTEC LOW COST     |UN |   100 |
|4381075|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    60 |
|4381076|N190|N190|04.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |   140 |
|4381077|N190|USAD|04.06.2024|X43|22026279|FONTE CX DIG HD DCR74X1 PACE            |UN |   230 |
|4381077|N190|USAD|04.06.2024|X43|22026293|FONTE EMTA WIFI 3.0 TG1692A 16          |UN |   290 |
|4381077|N190|N190|04.06.2024|X43|22060422|CONTROLE REMOTO UNIFICADO RC4194202 01B |UN |   230 |
