07.06.2024                           Saída dinâmica de lista                                   1
------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------
|Reserva|Cen.|Dep.|Data base |TMv|Material|Texto breve material                    |UMB|   Qtd.|
|4379609|N190|N190|03.06.2024|X43|22056345|MARCADOR CASA PTO NR 3                  |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22056359|FITA ACO INOX 1/2 POLEGADA ROLO 25MT    |ROL|    19 |
|4379609|N190|N190|03.06.2024|X43|22056360|FITA ACO INOX 3/4 POLEGADA ROLO 25MT    |ROL|    20 |
|4379609|N190|N190|03.06.2024|X43|22056365|PROTETOR P/MINI ISOLADOR - ACRE1568     |UN |   150 |
|4379609|N190|N190|03.06.2024|X43|22056369|CABO UTP CAT5E ETHERNET NET             |M  | 1.200 |
|4379609|N190|N190|03.06.2024|X43|22057658|SUPORTE ROLDANA FO DROP SDA-1           |UN |   160 |
|4379609|N190|N190|03.06.2024|X43|22057660|KIT ENTRADA DROP ECAM S7BR P/NAP 3M     |UN |   100 |
|4379609|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   140 |
|4379609|N190|USAD|03.06.2024|X43|22060290|FONTE DE ALIMENTACAO 12V CG3000 MSA C3  |UN |    50 |
|4379609|N190|N190|03.06.2024|X43|22060738|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 2.100 |
|4379609|N190|N190|03.06.2024|X43|22061811|CONECTOR UTP RJ45 M CAT 5 24AWG         |UN |   200 |
|4379609|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN | 1.200 |
|4379609|N190|N190|03.06.2024|X43|22065718|MARCADOR CASA PRETO NR 0                |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22065720|MARCADOR CASA PRETO NR 2                |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22065722|MARCADOR CASA PRETO NR 4                |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22065725|MARCADOR CASA PRETO NR 7                |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22066517|ISOLADOR CASA SURGE PROTEC LOW COST     |UN |   300 |
|4379610|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   140 |
