07.06.2024                                                                               Saída dinâmica de lista                                                                                      1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Seq.Integ.|Reserva|Centro|Depósito|Codigo|Descrição do status  |Data      |Hora    |Dt Integra|Hr integra|Usuário|Nº NF-e|Séries|Nº doc.|Doc.mat.|Ano DocMat|Usuário|Canal ver.|Dt.Sol.Ent|Hr.Sol.Ent|
|         1|4380372|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|16:12:20|04.06.2024|16:12:29  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4380769|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:51:40|04.06.2024|19:51:54  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4380796|11EU  |11EU    |000   |IMPORTADO COM SUCESSO|05.06.2024|10:36:20|05.06.2024|10:36:29  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4380797|11EU  |11EU    |000   |IMPORTADO COM SUCESSO|05.06.2024|11:02:30|05.06.2024|11:02:39  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381005|N190  |N190    |000   |IMPORTADO COM SUCESSO|05.06.2024|09:52:20|05.06.2024|09:52:27  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381012|N190  |N190    |000   |IMPORTADO COM SUCESSO|05.06.2024|10:22:20|05.06.2024|10:22:25  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381015|N190  |N190    |000   |IMPORTADO COM SUCESSO|05.06.2024|10:42:20|05.06.2024|10:42:21  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381016|11EU  |11EU    |000   |IMPORTADO COM SUCESSO|05.06.2024|11:02:40|05.06.2024|11:02:43  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381020|11EU  |11EU    |000   |IMPORTADO COM SUCESSO|05.06.2024|11:15:30|05.06.2024|11:15:38  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381063|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:53:00|04.06.2024|19:53:03  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381064|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:53:00|04.06.2024|19:53:10  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381066|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:53:20|04.06.2024|19:53:22  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381067|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:53:20|04.06.2024|19:53:29  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381068|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:53:30|04.06.2024|19:53:37  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381090|N190  |USAD    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:55:40|04.06.2024|19:55:41  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381092|N190  |USAD    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:56:10|04.06.2024|19:56:11  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381094|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:56:10|04.06.2024|19:56:19  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381095|N190  |USAD    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:56:20|04.06.2024|19:56:27  |tpc    |       |      |       |        |          |       |          |          |          |
|         1|4381100|N190  |N190    |000   |IMPORTADO COM SUCESSO|04.06.2024|19:56:40|04.06.2024|19:56:46  |tpc    |       |      |       |        |          |       |          |          |          |
