07.06.2024                   Saída dinâmica de lista                           1
--------------------------------------------------------------------------------
---------------------------------------------------------
|Reserva|Cen.|Dep.|Dt.lçto.  |Hora    |Referência   |TMv|
|4379703|N190|USAD|07.06.2024|09:04:48|000091139-806|X43|
|4379703|N190|    |07.06.2024|09:04:48|000091139-806|X43|
|4379703|N190|N190|07.06.2024|09:04:48|000091139-806|X43|
|4379703|N190|N190|07.06.2024|09:04:48|000091139-806|X43|
|4379703|N190|    |07.06.2024|09:04:48|000091139-806|X43|
|4379584|N190|USAD|07.06.2024|09:03:05|000091140-806|X43|
|4379584|N190|    |07.06.2024|09:03:05|000091140-806|X43|
|4379584|N190|    |07.06.2024|09:03:05|000091140-806|X43|
|4379584|N190|USAD|07.06.2024|09:03:05|000091140-806|X43|
|4379584|N190|    |07.06.2024|09:03:05|000091140-806|X43|
|4379584|N190|N190|07.06.2024|09:03:05|000091140-806|X43|
|4379714|N190|    |07.06.2024|09:09:38|000091141-806|X51|
|4379714|N190|USAD|07.06.2024|09:09:38|000091141-806|X51|
|4379714|N190|    |07.06.2024|09:09:38|000091141-806|X51|
|4379714|N190|USAD|07.06.2024|09:09:38|000091141-806|X51|
|4379720|N190|USAD|07.06.2024|09:12:07|000091142-806|X51|
|4379720|N190|    |07.06.2024|09:12:07|000091142-806|X51|
|4379720|N190|USAD|07.06.2024|09:12:07|000091142-806|X51|
|4379720|N190|    |07.06.2024|09:12:07|000091142-806|X51|
|4379720|N190|    |07.06.2024|09:12:07|000091142-806|X51|
|4379720|N190|USAD|07.06.2024|09:12:07|000091142-806|X51|
|4379736|N190|    |07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|USAD|07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|USAD|07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|    |07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|    |07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|USAD|07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|USAD|07.06.2024|09:16:27|000091143-806|X51|
|4379736|N190|    |07.06.2024|09:16:27|000091143-806|X51|
|4379721|N190|    |07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|USAD|07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|    |07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|USAD|07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|USAD|07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|    |07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|USAD|07.06.2024|09:18:21|000091144-806|X51|
|4379721|N190|    |07.06.2024|09:18:21|000091144-806|X51|
|4379731|N190|    |07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|USAD|07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|    |07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|USAD|07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|USAD|07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|    |07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|    |07.06.2024|09:21:19|000091145-806|X51|
|4379731|N190|USAD|07.06.2024|09:21:19|000091145-806|X51|
|4379582|N190|USAD|07.06.2024|09:30:57|000091148-806|X43|
|4379582|N190|    |07.06.2024|09:30:57|000091148-806|X43|
